Box_No,New_Product_Name,Description,Colour,Size_2,Size_4,Size_6,Size_8,Size_10,Size_12,Size_14,Row_Total,Category,Recalc_Flag
11.0,Maya,Maya Gown ,Leopard ,0,8,0,0,5,0,0,13,Sleep/Lounge (Unisex),Used Qty
12.0,Maya,Maya Gown ,Leopard ,0,0,0,14,0,0,0,14,Sleep/Lounge (Unisex),Used Qty
13.0,Maya,Maya Gown ,Leopard ,5,0,6,2,0,0,0,13,Sleep/Lounge (Unisex),Used Qty
14.0,Maya,Maya Gown ,Leopard ,0,0,0,0,12,0,0,12,Sleep/Lounge (Unisex),Used Qty
15.0,Maya,Maya Gown ,Leopard ,0,0,0,0,0,8,0,8,Sleep/Lounge (Unisex),Used Qty
16.0,Maya,Maya Gown ,Leopard ,0,0,0,0,0,10,0,10,Sleep/Lounge (Unisex),Used Qty
9.0,Ella,Princess Gown ,Pink ,0,0,0,0,0,12,0,12,Sleep/Lounge (Unisex),Used Qty
17.0,Ella,Princess Gown ,Pink ,0,12,0,0,0,6,0,18,Sleep/Lounge (Unisex),Used Qty
18.0,Ella,Princess Gown ,Pink ,0,0,16,0,0,0,0,16,Sleep/Lounge (Unisex),Used Qty
19.0,Ella,Princess Gown ,Pink ,25,0,0,0,0,0,0,25,Sleep/Lounge (Unisex),Used Qty
20.0,Ella,Princess Gown ,Pink ,0,0,15,0,0,0,0,15,Sleep/Lounge (Unisex),Used Qty
21.0,Ella,Princess Gown ,Pink ,0,20,0,0,0,0,0,20,Sleep/Lounge (Unisex),Used Qty
22.0,Ella,Princess Gown ,Pink ,0,0,0,0,0,12,0,12,Sleep/Lounge (Unisex),Used Qty
23.0,Ella,Princess Gown ,Pink ,0,20,0,0,0,0,0,20,Sleep/Lounge (Unisex),Used Qty
24.0,Ella,Princess Gown ,Pink ,0,0,0,13,0,0,0,13,Sleep/Lounge (Unisex),Used Qty
25.0,Ella,Princess Gown ,Pink ,0,0,15,0,0,0,0,15,Sleep/Lounge (Unisex),Used Qty
26.0,Ella,Princess Gown ,Pink ,0,0,0,15,0,0,0,15,Sleep/Lounge (Unisex),Used Qty
27.0,Ella,Princess Gown ,Pink ,5,0,0,0,9,0,0,14,Sleep/Lounge (Unisex),Used Qty
31.0,Josh,Josh Gown - Night Gown ,Check,0,4,8,0,0,0,0,12,Sleep/Lounge (Unisex),Used Qty
32.0,Josh,Josh Gown - Night Gown ,Check,0,14,0,0,0,0,0,14,Sleep/Lounge (Unisex),Used Qty
33.0,Josh,Josh Gown - Night Gown ,Check,0,0,0,3,8,0,0,11,Sleep/Lounge (Unisex),Used Qty
34.0,Josh,Josh Gown - Night Gown ,Check,23,0,0,0,0,0,0,23,Sleep/Lounge (Unisex),Used Qty
35.0,Josh,Josh Gown - Night Gown ,Check,0,0,0,0,0,10,0,10,Sleep/Lounge (Unisex),Used Qty
36.0,Josh,Josh Gown - Night Gown ,Check,0,0,0,13,0,0,0,13,Sleep/Lounge (Unisex),Used Qty
